Num_Acc,jour,mois,an,hrmn,lum,dep,com,agg,int,atm,col,adr,lat,long
201900038544,16,6,2019,0:30,3,10,10037,2,1,1,7,rue de maraye,48,
201900038545,18,6,2019,19:00,1,10,10391,1,1,1,6,Chemin communal,48,
201900038546,22,6,2019,12:45,1,974,97405,1,1,1,7,Route de Grande Anse,-21,
201900038547,21,6,2019,17:15,1,62,62155,2,1,1,3,21Rue de Licques,50,
201900038548,20,6,2019,17:00,1,57,57428,2,1,1,6,RUE DE STRASBOURG machere,49,
201900038549,23,6,2019,8:40,1,1,1427,2,3,1,6,D933,45,
201900038550,14,6,2019,11:30,1,68,68144,1,1,1,6,Route Départementale 468,47,
201900038551,23,6,2019,0:40,3,35,35176,1,3,1,6,Chantereine (Guipry),47,
201900038552,22,6,2019,17:20,1,67,67478,1,1,1,1,D6,48,
201900038553,22,6,2019,16:20,1,22,22251,1,1,1,6,RN 12 PR 64+045 D,48,
201900038554,21,6,2019,23:35,5,59,59278,2,1,1,7,98 Rue Émile Zola,50,
201900038555,22,6,2019,22:05,3,84,84038,1,1,1,6,D 31,43,
201900038556,21,6,2019,10:35,1,83,83019,1,1,1,7,Avenue Lou Mistraou,43,
201900038557,20,6,2019,19:11,1,65,65225,2,1,1,3,Route de la Bigorre,43,
201900038558,20,6,2019,18:15,1,72,72200,1,1,1,3,Boulevard Sirius,47,
201900038559,1,11,2019,9:45,1,69,69381,2,9,1,6,TERME                               (R ),45,
201900038560,25,10,2019,16:37,1,69,69266,2,1,1,6,PAUL VERLAINE       (Rue),45,
201900038561,31,10,2019,17:30,3,69,69029,2,3,3,3,CAMILLE ROUSSET                     (AV),45,
201900038562,31,10,2019,9:10,1,69,69266,2,2,2,3,LOUIS BECKER        (Rue),45,
201900038563,30,10,2019,14:55,1,69,69264,2,9,1,3,FRANS ROUTE DE,45,
201900038564,2,11,2019,14:40,1,68,68154,1,9,2,4,AUTOROUTE A 36,47,
201900038565,15,10,2019,16:30,1,68,68224,2,3,2,3,THANN (RUE DE),47,
201900038566,28,10,2019,15:00,1,67,67482,2,1,8,3,ROBERTSAU (ALLEE DE LA),48,
201900038567,28,10,2019,14:25,1,67,67482,2,1,1,3,RATHSAMHAUSEN (RUE DE),48,
201900038568,27,10,2019,19:15,5,67,67482,2,1,2,2,RIETH (RUE DU),48,
201900038569,27,10,2019,18:00,5,67,67482,2,3,2,3,PLAINE DES BOUCHERS (RUE DE LA),48,
201900038570,26,10,2019,23:00,5,67,67482,2,3,1,3,ZIEGELAU (RUE DE LA),48,
201900038571,30,10,2019,15:10,1,64,64483,2,1,1,6,ITHURRALDE ANDRE (AVENUE),43,
201900038572,2,11,2019,15:45,1,64,64445,2,1,2,3,CATHERINE DE BOURBON,43,
201900038573,31,10,2019,19:53,5,64,64445,2,1,1,6,14 JUILLET DU,43,
201900038574,31,10,2019,18:20,5,64,64284,1,1,9,6,18 JUIN 1940 DU,43,
201900038575,30,10,2019,18:35,5,64,64269,1,2,1,1,TARBES DE,43,
201900038576,29,10,2019,18:15,5,64,64445,2,1,1,6,UNIVERSITE DE L',43,
201900038577,25,10,2019,17:25,1,64,64122,2,1,1,6,MARCEL DASSAULT (BD),43,
201900038578,2,11,2019,15:10,1,64,64102,2,1,8,2,NAVARRE (AVENUE HENRI DE),43,
201900038579,30,10,2019,14:35,1,64,64024,2,3,8,3,BIARRITZ (AVENUE DE),43,
201900038580,31,10,2019,16:53,1,63,63113,2,1,8,3,MOULIN (BD JEAN),45,
201900038581,31,10,2019,20:35,3,62,62178,1,9,1,6,DAMES (CHEMIN DES),50,
201900038582,1,11,2019,2:25,5,60,60159,2,1,1,1,ADER (CLEMENT),49,
201900038583,2,11,2019,12:45,1,59,59650,2,1,8,1,PATRIOTES (RUE DES),50,
201900038584,31,10,2019,23:55,5,59,59350,2,9,1,2,MOSELLE BOULEVARD N°IMPAIRS,50,
201900038585,30,10,2019,16:15,1,59,59350,2,2,1,3,LYON RUE,50,
201900038586,29,10,2019,18:10,5,59,59574,2,1,1,1,WILSON PROLONGEE(RUE),50,
201900038587,28,10,2019,8:50,1,57,57757,1,3,1,3,BOUZONVILLE (ROUTE DE),49,
201900038588,31,10,2019,11:42,1,57,57463,2,1,1,6,GENERAL METMAN,49,
201900038589,25,10,2019,1:03,3,57,57019,1,1,1,6,CD8,49,
